"id","textfragment_id","textexpression_id"
3407,1301,4
3408,1302,4
3409,1303,4
3410,1304,4
3411,1305,4
3412,1306,4
3413,1307,4
3414,1308,4
3415,1309,4
3416,1310,4
3417,1311,4
3418,1312,4
3419,1313,4
3420,1314,4
3421,1315,4
3422,1316,4
3423,1317,4
3424,1318,4
3425,1319,4
3426,1320,4
3427,1321,4
3428,1322,4
3429,1323,4
3430,1324,4
3431,1325,4
3432,1326,4
3433,1327,4
3434,1328,4
3435,1329,4
3436,1330,4
3437,1331,4
3438,1332,4
3439,1333,4
3440,1334,4
3441,1335,4
3442,1336,4
3443,1337,4
3444,1338,4
3445,1339,4
3446,1340,4
3447,1341,4
3448,1342,4
3449,1343,4
3450,1344,4
3451,1345,4
3452,1346,4
3453,1347,4
3454,1348,4
3455,1349,4
3456,1350,4
3457,1351,4
3458,1352,4
3459,1353,4
3460,1354,4
3461,1355,4
3462,1356,4
3463,1357,4
3464,1358,4
3465,1359,4
3466,1360,4
3467,1361,4
3468,1362,4
3469,1363,4
3470,1364,4
3471,1365,4
3472,1366,4
3473,1367,4
3474,1368,4
3475,1369,4
3476,1370,4
3477,1371,4
3478,1372,4
3479,1373,4
3480,1374,4
3481,1375,4
3482,1376,4
3483,1377,4
3484,1378,4
3485,1379,4
3486,1380,4
3487,1381,4
3488,1382,4
3489,1383,4
3490,1384,4
3491,1385,4
3492,1386,4
3493,1387,4
3494,1388,4
3495,1389,4
3496,1390,4
3497,1391,4
3498,1392,4
3499,1393,4
3500,1394,4
3501,1395,4
3502,1396,4
3503,1397,4
3504,1398,4
3505,1399,4
3506,1400,4
3507,1401,4
3508,1402,4
3509,1403,4
3510,1404,4
3511,1405,4
3512,1406,4
3513,1407,4
3514,1408,4
3515,1409,4
3516,1410,4
3517,1411,4
3518,1412,4
3519,1413,4
3520,1414,4
3521,1415,4
3522,1416,4
3523,1417,4
3524,1418,4
3525,1419,4
3526,1420,4
3527,1421,4
3528,1422,4
3529,1423,4
3530,1424,4
3531,1425,4
3532,1426,4
3533,1427,4
3534,1428,4
3535,1429,4
3536,1430,4
3537,1431,4
3538,1432,4
3539,1433,4
3540,1434,4
3541,1435,4
3542,1436,4
3543,1437,4
3544,1438,4
3545,1439,4
3546,1440,4
3547,1441,4
3548,1442,4
3549,1443,4
3550,1444,4
3551,1445,4
3552,1446,4
3553,1447,4
3554,1448,4
3555,1449,4
3556,1450,4
3557,1451,4
3558,1452,4
3559,1453,4
3560,1454,4
3561,1455,4
3562,1456,4
3563,1457,4
3564,1458,4
3565,1459,4
3566,1460,4
3567,1461,4
3568,1462,4
3569,1463,4
3570,1464,4
3571,1465,4
3572,1466,4
3573,1467,4
3574,1468,4
3575,1469,4
3576,1470,4
3577,1471,4
3578,1472,4
3579,1473,4
3580,1474,4
3581,1475,4
3582,1476,4
3583,1477,4
3584,1478,4
3585,1479,4
3586,1480,4
3587,1481,4
3588,1482,4
3589,1483,4
3590,1484,4
3591,1485,4
3592,1486,4
3593,1487,4
3594,1488,4
3595,1489,4
3596,1490,4
3597,1491,4
3598,1492,4
3599,1493,4
3600,1494,4
3601,1495,4
3602,1496,4
3603,1497,4
3604,1498,4
3605,1499,4
3606,1500,4
3607,1501,4
3608,1502,4
3609,1503,4
3610,1504,4
3611,1505,4
3612,1506,4
3613,1507,4
3614,1508,4
3615,1509,4
3616,1510,4
3617,1511,4
3618,1512,4
3619,1513,4
3620,1514,4
3621,1515,4
3622,1516,4
3623,1517,4
3624,1518,4
3625,1519,4
3626,1520,4
3627,1521,4
3628,1522,4
3629,1523,4
3630,1524,4
3631,1525,4
3632,1526,4
3633,1527,4
3634,1528,4
3635,1529,4
3636,1530,4
3637,1531,4
3638,1532,4
3639,1533,4
3640,1534,4
3641,1535,4
3642,1536,4
3643,1537,4
3644,1538,4
3645,1539,4
3646,1540,4
3647,1541,4
3648,1542,4
3649,1543,4
3650,1544,4
3651,1545,4
3652,1546,4
3653,1547,4
3654,1548,4
3655,1549,4
3656,1550,4
3657,1551,4
3658,1552,4
3659,1553,4
3660,1554,4
3661,1555,4
3662,1556,4
3663,1557,4
3664,1558,4
3665,1559,4
3666,1560,4
3667,1561,4
3668,1562,4
3669,1563,4
3670,1564,4
3671,1565,4
3672,1566,4
3673,1567,4
3674,1568,4
3675,1569,4
3676,1570,4
3677,1571,4
3678,1572,4
3679,1573,4
3680,1574,4
3681,1575,4
3682,1576,4
3683,1577,4
3684,1578,4
3685,1579,5
3686,1580,5
3687,1581,5
3688,1582,5
3689,1583,5
3690,1584,5
3691,1585,5
3692,1586,5
3693,1587,5
3694,1588,5
3695,1589,5
3696,1590,5
3697,1591,5
3698,1592,5
3699,1593,5
3700,1594,5
3701,1595,5
3702,1596,5
3703,1597,5
3704,1598,5
3705,1599,5
3706,1600,5
3707,1601,5
3708,1602,5
3709,1603,5
3710,1604,5
3711,1605,5
3712,1606,5
3713,1607,5
3714,1608,5
3715,1609,5
3716,1610,5
3717,1611,5
3718,1612,5
3719,1613,5
3720,1614,5
3721,1615,5
3722,1616,5
3723,1617,5
3724,1618,5
3725,1619,5
3726,1620,5
3727,1621,5
3728,1622,5
3729,1623,5
3730,1624,5
3731,1625,5
3732,1626,5
3733,1627,5
3734,1628,5
3735,1629,5
3736,1630,5
3737,1631,5
3738,1632,5
3739,1633,5
3740,1634,5
3741,1635,5
3742,1636,5
3743,1637,5
3744,1638,5
3745,1639,5
3746,1640,5
3747,1641,5
3748,1642,5
3749,1643,5
3750,1644,5
3751,1645,5
3752,1646,5
3753,1647,5
3754,1648,5
3755,1649,5
3756,1650,5
3757,1651,5
3758,1652,5
3759,1653,5
3760,1654,5
3761,1655,5
3762,1656,5
3763,1657,5
3764,1658,5
3765,1659,5
3766,1660,5
3767,1661,5
3768,1662,5
3769,1663,5
3770,1664,5
3771,1665,5
3772,1666,5
3773,1667,5
3774,1668,5
3775,1669,5
3776,1670,5
3777,1671,5
3778,1672,5
3779,1673,5
3780,1674,5
3781,1675,5
3782,1676,5
3783,1677,5
3784,1678,5
3785,1679,5
3786,1680,5
3787,1681,5
3788,1682,5
3789,1683,5
3790,1684,5
3791,1685,5
3792,1686,5
3793,1687,5
3794,1688,5
3795,1689,5
3796,1690,5
3797,1691,5
3798,1692,5
3799,1693,5
3800,1694,5
3801,1695,5
3802,1696,5
3803,1697,5
3804,1698,5
3805,1699,5
3806,1700,5
3807,1701,5
3808,1702,5
3809,1703,5
3810,1704,5
3811,1705,5
3812,1706,5
3813,1707,5
3814,1708,5
3815,1709,5
3816,1710,5
3817,1711,5
3818,1712,5
3819,1713,5
3820,1714,5
3821,1715,5
3822,1716,5
3823,1717,5
3824,1718,5
3825,1719,5
3826,1720,5
3827,1721,5
3828,1722,5
3829,1723,5
3830,1724,5
3831,1725,5
3832,1726,5
3833,1727,5
3834,1728,5
3835,1729,5
3836,1730,5
3837,1731,5
3838,1732,5
3839,1733,5
3840,1734,5
3841,1735,5
3842,1736,5
3843,1737,5
3844,1738,5
3845,1739,5
3846,1740,5
3847,1741,5
3848,1742,5
3849,1743,5
3850,1744,5
3851,1745,5
3852,1746,5
3853,1747,5
3854,1748,5
3855,1749,5
3856,1750,5
3857,1751,5
3858,1752,5
3859,1753,5
3860,1754,5
3861,1755,5
3862,1756,5
3863,1757,5
3864,1758,5
3865,1759,5
3866,1760,5
3867,1761,5
3868,1762,5
3869,1763,5
3870,1764,5
3871,1765,5
3872,1766,5
3873,1767,5
3874,1768,5
3875,1769,5
3876,1770,5
3877,1771,5
3878,1772,5
3879,1773,5
3880,1774,5
3881,1775,5
3882,1776,5
3883,1777,5
3884,1778,5
3885,1779,5
3886,1780,5
3887,1781,5
3888,1782,5
3889,1783,5
3890,1784,5
3891,1785,5
3892,1786,5
3893,1787,5
3894,1788,5
3895,1789,5
3896,1790,5
3897,1791,5
3898,1792,5
3899,1793,5
3900,1794,5
3901,1795,5
3902,1796,5
3903,1797,5
3904,1798,5
3905,1799,5
3906,1800,5
3907,1801,5
3908,1802,5
3909,1803,5
3910,1804,5
3911,1805,5
3912,1806,5
3913,1807,5
3914,1808,5
3915,1809,5
3916,1810,5
3917,1811,5
3918,1812,5
3919,1813,5
3920,1814,5
3921,1815,5
3922,1816,5
3923,1817,5
3924,1818,5
3925,1819,5
3926,1820,5
3927,1821,5
3928,1822,5
3929,1823,5
3930,1824,5
3931,1825,5
3932,1826,5
3933,1827,5
3934,1828,5
3935,1829,5
3936,1830,5
3937,1831,5
3938,1832,5
3939,1833,5
3940,1834,5
3941,1835,5
3942,1836,5
3943,1837,5
3944,1838,5
3945,1839,5
3946,1840,5
3947,1841,5
3948,1842,5
3949,1843,5
3950,1844,5
3951,1845,5
3952,1846,5
3953,1847,5
3954,1848,5
3955,1849,5
