"id","textunit_id","textfragment_id"
2988,883,1409
3514,883,1935
2463,884,884
2989,884,1410
3515,884,1936
2464,885,885
2990,885,1411
3516,885,1937
2465,886,886
2991,886,1412
3517,886,1938
2466,887,887
2992,887,1413
3518,887,1939
2467,888,888
2993,888,1414
3519,888,1940
2468,889,889
2994,889,1415
3520,889,1941
2469,890,890
2995,890,1416
3521,890,1942
2470,891,891
2996,891,1417
3522,891,1943
2471,892,892
2997,892,1418
3523,892,1944
2472,893,893
2998,893,1419
3524,893,1945
2473,894,894
2999,894,1420
3525,894,1946
2474,895,895
3000,895,1421
3526,895,1947
2475,896,896
3001,896,1422
3527,896,1948
2476,897,897
3002,897,1423
3528,897,1949
2477,898,898
3003,898,1424
3529,898,1950
2478,899,899
3004,899,1425
3530,899,1951
2479,900,900
3005,900,1426
3531,900,1952
2480,901,901
3006,901,1427
3532,901,1953
2481,902,902
3007,902,1428
3533,902,1954
2482,903,903
3008,903,1429
3534,903,1955
2483,904,904
3009,904,1430
3535,904,1956
2484,905,905
3010,905,1431
3536,905,1957
2485,906,906
3011,906,1432
3537,906,1958
2486,907,907
3012,907,1433
3538,907,1959
2487,908,908
3013,908,1434
3539,908,1960
2488,909,909
3014,909,1435
3540,909,1961
2489,910,910
3015,910,1436
3541,910,1962
2490,911,911
3016,911,1437
3542,911,1963
2491,912,912
3017,912,1438
3543,912,1964
2492,913,913
3018,913,1439
3544,913,1965
2493,914,914
3019,914,1440
3545,914,1966
2494,915,915
3020,915,1441
3546,915,1967
2495,916,916
3021,916,1442
3547,916,1968
2496,917,917
3022,917,1443
3548,917,1969
2497,918,918
3023,918,1444
3549,918,1970
2498,919,919
3024,919,1445
3550,919,1971
2499,920,920
3025,920,1446
3551,920,1972
2500,921,921
3026,921,1447
3552,921,1973
2501,922,922
3027,922,1448
3553,922,1974
2502,923,923
3028,923,1449
3554,923,1975
2503,924,924
3029,924,1450
3555,924,1976
2504,925,925
3030,925,1451
3556,925,1977
2505,926,926
3031,926,1452
3557,926,1978
2506,927,927
3032,927,1453
3558,927,1979
2507,928,928
3033,928,1454
3559,928,1980
2508,929,929
3034,929,1455
3560,929,1981
2509,930,930
3035,930,1456
3561,930,1982
2510,931,931
3036,931,1457
3562,931,1983
2511,932,932
3037,932,1458
3563,932,1984
2512,933,933
3038,933,1459
3564,933,1985
2513,934,934
3039,934,1460
3565,934,1986
2514,935,935
3040,935,1461
3566,935,1987
2515,936,936
3041,936,1462
3567,936,1988
2516,937,937
3042,937,1463
3568,937,1989
2517,938,938
3043,938,1464
3569,938,1990
2518,939,939
3044,939,1465
3570,939,1991
2519,940,940
3045,940,1466
3571,940,1992
2520,941,941
3046,941,1467
3572,941,1993
2521,942,942
3047,942,1468
3573,942,1994
2522,943,943
3048,943,1469
3574,943,1995
2523,944,944
3049,944,1470
3575,944,1996
2524,945,945
3050,945,1471
3576,945,1997
2525,946,946
3051,946,1472
3577,946,1998
2526,947,947
3052,947,1473
3578,947,1999
2527,948,948
3053,948,1474
3579,948,2000
2528,949,949
3054,949,1475
3580,949,2001
2529,950,950
3055,950,1476
3581,950,2002
2530,951,951
3056,951,1477
3582,951,2003
2531,952,952
3057,952,1478
3583,952,2004
2532,953,953
3058,953,1479
3584,953,2005
2533,954,954
3059,954,1480
3585,954,2006
2534,955,955
3060,955,1481
3586,955,2007
2535,956,956
3061,956,1482
3587,956,2008
2536,957,957
3062,957,1483
3588,957,2009
2537,958,958
3063,958,1484
3589,958,2010
2538,959,959
3064,959,1485
3590,959,2011
2539,960,960
3065,960,1486
3591,960,2012
2540,961,961
3066,961,1487
3592,961,2013
2541,962,962
3067,962,1488
3593,962,2014
2542,963,963
3068,963,1489
3594,963,2015
2543,964,964
3069,964,1490
3595,964,2016
2544,965,965
3070,965,1491
3596,965,2017
2545,966,966
3071,966,1492
3597,966,2018
2546,967,967
3072,967,1493
3598,967,2019
2547,968,968
3073,968,1494
3599,968,2020
2548,969,969
3074,969,1495
3600,969,2021
2549,970,970
3075,970,1496
3601,970,2022
2550,971,971
3076,971,1497
3602,971,2023
2551,972,972
3077,972,1498
3603,972,2024
2552,973,973
3078,973,1499
3604,973,2025
2553,974,974
3079,974,1500
3605,974,2026
2554,975,975
3080,975,1501
3606,975,2027
2555,976,976
3081,976,1502
3607,976,2028
2556,977,977
3082,977,1503
3608,977,2029
2557,978,978
3083,978,1504
3609,978,2030
2558,979,979
3084,979,1505
3610,979,2031
2559,980,980
3085,980,1506
3611,980,2032
2560,981,981
3086,981,1507
3612,981,2033
2561,982,982
3087,982,1508
3613,982,2034
2562,983,983
3088,983,1509
3614,983,2035
2563,984,984
3089,984,1510
3615,984,2036
2564,985,985
3090,985,1511
3616,985,2037
2565,986,986
3091,986,1512
3617,986,2038
2566,987,987
3092,987,1513
3618,987,2039
2567,988,988
3093,988,1514
3619,988,2040
2568,989,989
3094,989,1515
3620,989,2041
2569,990,990
3095,990,1516
3621,990,2042
2570,991,991
3096,991,1517
3622,991,2043
2571,992,992
3097,992,1518
3623,992,2044
2572,993,993
3098,993,1519
3624,993,2045
2573,994,994
3099,994,1520
3625,994,2046
2574,995,995
3100,995,1521
3626,995,2047
2575,996,996
3101,996,1522
3627,996,2048
2576,997,997
3102,997,1523
3628,997,2049
2577,998,998
3103,998,1524
3629,998,2050
2578,999,999
3104,999,1525
3630,999,2051
2579,1000,1000
3105,1000,1526
3631,1000,2052
2580,1001,1001
3106,1001,1527
3632,1001,2053
2581,1002,1002
3107,1002,1528
3633,1002,2054
2582,1003,1003
3108,1003,1529
3634,1003,2055
2583,1004,1004
3109,1004,1530
3635,1004,2056
2584,1005,1005
3110,1005,1531
3636,1005,2057
2585,1006,1006
3111,1006,1532
3637,1006,2058
2586,1007,1007
3112,1007,1533
3638,1007,2059
2587,1008,1008
3113,1008,1534
3639,1008,2060
2588,1009,1009
3114,1009,1535
3640,1009,2061
2589,1010,1010
3115,1010,1536
3641,1010,2062
2590,1011,1011
3116,1011,1537
3642,1011,2063
2591,1012,1012
3117,1012,1538
3643,1012,2064
2592,1013,1013
3118,1013,1539
3644,1013,2065
2593,1014,1014
3119,1014,1540
3645,1014,2066
2594,1015,1015
3120,1015,1541
